experiment,split,seed,model,pr_auc,roc_auc,fit_seconds,patient_overlap
seed_sensitivity,random_75_25,0,RF250_depth5_unweighted,0.21725134740323276,0.6663692539108577,0.9609713749960065,7817
seed_sensitivity,random_75_25,1,RF250_depth5_unweighted,0.21735506796720247,0.6629404943989966,0.8125450840452686,7855
seed_sensitivity,random_75_25,2,RF250_depth5_unweighted,0.21286777610598043,0.6677767317547998,0.8230444160290062,7880
seed_sensitivity,random_75_25,3,RF250_depth5_unweighted,0.21580652810320194,0.663586496541884,0.8013562499545515,7965
seed_sensitivity,random_75_25,4,RF250_depth5_unweighted,0.2162405689931628,0.6666611991843845,0.8283324170624837,7769
seed_sensitivity,random_75_25,5,RF250_depth5_unweighted,0.2197615892904709,0.667663194250389,0.8156206250423566,7811
seed_sensitivity,random_75_25,6,RF250_depth5_unweighted,0.2181844601893721,0.6614449219545155,0.8421007500728592,7855
seed_sensitivity,random_75_25,7,RF250_depth5_unweighted,0.2153024178188288,0.6620018905523386,0.8353700420120731,7751
seed_sensitivity,random_75_25,8,RF250_depth5_unweighted,0.2095647591634163,0.6580878213593726,0.7879025840666145,7877
seed_sensitivity,random_75_25,9,RF250_depth5_unweighted,0.2160851584088092,0.6588931864850684,0.8169112090254202,7850
seed_sensitivity,random_75_25,10,RF250_depth5_unweighted,0.22417690018717587,0.6676384991784402,0.8387442500097677,7840
seed_sensitivity,random_75_25,11,RF250_depth5_unweighted,0.21535741385647572,0.6681587326103527,0.8317522919969633,7812
seed_sensitivity,random_75_25,12,RF250_depth5_unweighted,0.21641571979165758,0.6634252639792678,0.8190947499824688,7868
seed_sensitivity,random_75_25,13,RF250_depth5_unweighted,0.22025638940331843,0.6621445187185572,0.8597685829736292,7707
seed_sensitivity,random_75_25,14,RF250_depth5_unweighted,0.223571193675043,0.665189116971532,0.8286102910060436,7834
seed_sensitivity,random_75_25,15,RF250_depth5_unweighted,0.21785654270970445,0.6642374011384894,0.8462092500412837,7781
seed_sensitivity,random_75_25,16,RF250_depth5_unweighted,0.21203341099615353,0.657975497004526,0.844337832997553,7757
seed_sensitivity,random_75_25,17,RF250_depth5_unweighted,0.21469683633792652,0.6590386647218383,0.8311183339683339,7894
seed_sensitivity,random_75_25,18,RF250_depth5_unweighted,0.21765990469068308,0.6629401287922785,0.8215093340259045,7731
seed_sensitivity,random_75_25,19,RF250_depth5_unweighted,0.22262256966742225,0.6648727175941203,0.8317441249964759,7808
hyperparam_fixed_seed,random_75_25,42,RF250_depth3_unweighted,0.19815258653703505,0.6513686263136894,0.7281324160285294,7906
hyperparam_fixed_seed,random_75_25,42,RF250_depth5_unweighted,0.20825346630617134,0.6564143563188781,0.7964446670375764,7906
hyperparam_fixed_seed,random_75_25,42,RF250_depth8_unweighted,0.21614721404845044,0.6636092306323456,1.006863082991913,7906
hyperparam_fixed_seed,random_75_25,42,RF250_depth12_unweighted,0.21634921803075702,0.6676766386065172,1.3558255420066416,7906
hyperparam_fixed_seed,random_75_25,42,RF500_depth8_unweighted,0.21673847478327388,0.6633298073889083,2.106460834038444,7906
hyperparam_fixed_seed,random_75_25,42,RF250_depth8_balanced,0.2080296302394391,0.663301074024575,1.8793639580253512,7906
hyperparam_fixed_seed,random_75_25,42,ExtraTrees500_depth8_balanced,0.19717048072068555,0.6480165029554568,2.4949089579749852,7906
