feature,positive_rate_lowest_quartile,positive_rate_highest_quartile,average_precision_single_feature,roc_auc_single_feature,count
number_inpatient,0.08589327496414824,0.16991963260619977,0.17555772638194794,0.6072686404368891,
number_emergency,0.10686806649367131,0.11388824577474005,0.12870241864325835,0.5319845572208091,
number_outpatient,0.10891148757741523,0.11388824577474005,0.11847542641548682,0.5203464048187488,
time_in_hospital,0.09324434315481035,0.13435147498469185,0.12701930723020782,0.5477015778180175,
num_medications,0.09213021491782554,0.1320570936200502,0.12605562469871176,0.543593299810344,
num_lab_procedures,0.10276317885013538,0.12272112092986227,0.12005019798566105,0.5219179522035996,
num_procedures,0.11256813853192933,0.10920572215239122,0.11137830917765619,0.49610030916238324,
number_diagnoses,0.09179902755267423,0.127673782841879,0.12485589078312802,0.5440182500643254,
discharge_disposition_id=12,,0.6666666666666666,,,3.0
discharge_disposition_id=15,,0.4444444444444444,,,63.0
discharge_disposition_id=9,,0.42857142857142855,,,21.0
discharge_disposition_id=28,,0.3669064748201439,,,139.0
discharge_disposition_id=22,,0.2769693928750627,,,1993.0
discharge_disposition_id=5,,0.20861486486486486,,,1184.0
discharge_disposition_id=2,,0.16071428571428573,,,2128.0
discharge_disposition_id=3,,0.14662462376379531,,,13954.0
admission_source_id=22,,0.16666666666666666,,,12.0
admission_source_id=3,,0.15675675675675677,,,185.0
admission_source_id=20,,0.13836477987421383,,,159.0
admission_source_id=8,,0.13333333333333333,,,15.0
admission_source_id=5,,0.12406947890818859,,,806.0
admission_source_id=7,,0.1197851387645479,,,55850.0
admission_source_id=17,,0.1071537290715373,,,6570.0
admission_source_id=1,,0.10696653867251783,,,29168.0
admission_type_id=1,,0.11827156250596704,,,52371.0
admission_type_id=2,,0.11350099272005294,,,18132.0
admission_type_id=6,,0.11196466295371615,,,5207.0
admission_type_id=5,,0.10677929391379684,,,4617.0
admission_type_id=3,,0.10488536533104778,,,18668.0
admission_type_id=4,,0.1,,,10.0
admission_type_id=8,,0.084375,,,320.0
admission_type_id=7,,0.0,,,18.0
age=[20-30),,0.14311704063068525,,,1649.0
age=[80-90),,0.12565413167822806,,,16434.0
age=[70-80),,0.12056373613359125,,,25331.0
age=[90-100),,0.11896485129393589,,,2589.0
age=[60-70),,0.11301509587923296,,,22059.0
age=[30-40),,0.1126461211477152,,,3764.0
age=[40-50),,0.10658894556052878,,,9607.0
age=[50-60),,0.09771395076201642,,,17060.0
